Sl.No,Molecule_Smiles,Combination_Code
533,CC(OCC=O)O,F5-F9-F5-F1
534,CC(C=O)OCO,F5-F9-F5-F1
535,CC(=O)COCO,F5-F9-F5-F1
536,COC(C=O)CO,F5-F9-F5-F1
537,CC(C=O)(CO)O,F5-F9-F5-F1
538,CC(=O)C(CO)O,F5-F9-F5-F1
539,CC(C(C=O)O)O,F5-F9-F5-F1
540,COCC(C=O)O,F5-F9-F5-F1
541,CCOC(C=O)O,F5-F9-F5-F1
542,CC(C=O)(OC)O,F5-F9-F5-F1
543,COC(C(=O)C)O,F5-F9-F5-F1
544,COCC(=O)CO,F5-F9-F5-F1
545,OCC(=O)C(O)C,F5-F9-F5-F1
546,CNC(NC=O)O,F4-F6-F9-F1
547,CC(NC=O)(O)N,F4-F6-F9-F1
548,CN(C(O)N)C=O,F4-F6-F9-F1
549,CC(=O)NC(O)N,F4-F6-F9-F1
550,CC(=O)C(O)(N)N,F4-F6-F9-F1
551,CNC(C=O)(O)N,F4-F6-F9-F1
552,CNC(=O)NCO,F4-F9-F6-F1
553,CN(C(=O)N)CO,F4-F9-F6-F1
554,CC(NC(=O)N)O,F4-F9-F6-F1
555,CNC(=O)C(O)N,F4-F9-F6-F1
556,NC(=O)C(O)(N)C,F4-F9-F6-F1
557,CNC(C(=O)N)O,F4-F9-F6-F1
558,NC(NCCC)O,F2-F4-F1-F6
559,OCNCCCN,F2-F4-F1-F6
560,NC(CCCN)O,F2-F4-F1-F6
561,OCNCNCC,F2-F4-F1-F6
562,NC(CNCC)O,F2-F4-F1-F6
563,NC(N(CC)C)O,F2-F4-F1-F6
564,OCNCCNC,F2-F4-F1-F6
565,CNCCC(O)N,F2-F4-F1-F6
566,OCNC(CC)N,F1-F2-F4-F6
567,NC(C(CC)N)O,F1-F2-F4-F6
568,NCCCC(O)N,F1-F2-F4-F6
569,NC(CCC)(O)N,F1-F2-F6-F4
570,CCCC(O)(N)N,F1-F2-F6-F4
571,OCN(CCN)C,F1-F6-F2-F4
572,NCN(CC)CO,F1-F6-F2-F4
573,NCNC(CC)O,F1-F6-F2-F4
574,CNC(CC)(O)N,F1-F6-F2-F4
575,CNC(CCN)O,F1-F6-F2-F4
576,C(CN)C(O)(N)C,F1-F6-F2-F4
577,NCC(CC)(O)N,F1-F6-F2-F4
578,NCC(NCC)O,F1-F6-F2-F4
579,CCNC(O)(N)C,F1-F6-F2-F4
580,CC(NCCN)O,F1-F6-F2-F4
581,O=CC(OCC)O,F5-F9-F2-F3
582,O=CCOCCO,F5-F9-F2-F3
583,O=CC(CC)(O)O,F5-F9-F2-F3
584,O=CC(CCO)O,F5-F9-F2-F3
585,OC(C(=O)CC)O,F5-F9-F2-F3
586,OCC(=O)CCO,F5-F9-F2-F3
587,O=CCCC(O)O,F2-F9-F5-F3
588,OCOCCC=O,F2-F9-F5-F3
589,CNC(NCC)O,F2-F4-F6-F1
590,CC(COCC)O,F5-F5-F2-F1
591,OCC(OCC)C,F5-F5-F2-F1
592,OCCOCCC,F5-F5-F2-F1
593,COCC(CC)O,F5-F5-F2-F1
594,CC(C(CC)O)O,F5-F5-F2-F1
595,OCC(CC)(O)C,F5-F5-F2-F1
596,OCC(CCC)O,F5-F5-F2-F1
597,OCC(CC)OC,F5-F5-F2-F1
598,CC(OCCC)O,F5-F5-F2-F1
599,OCOC(CC)C,F5-F5-F2-F1
600,OCOCCCC,F5-F5-F2-F1
601,CCOC(CC)O,F5-F5-F2-F1
602,COC(CC)(O)C,F5-F5-F2-F1
603,COC(CCC)O,F5-F5-F2-F1
604,OCCCCOC,F2-F5-F5-F1
605,OCCCC(O)C,F2-F5-F5-F1
606,COCCC(O)C,F2-F5-F5-F1
607,CCOCCCO,F2-F5-F5-F1
608,OC1CC(CC1)F,F3-F17-F12
609,OCNCNC=O,F1-F4-F6-F9
610,NC(C=O)NCO,F1-F4-F6-F9
611,NCN(C=O)CO,F1-F4-F6-F9
612,NCNC(C=O)O,F1-F4-F6-F9
